wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
392553,283696,0.004827586206896552,0.012689655172413793,0.009,114850,87449,124015.74803149607
401439,276053,0.004827586206896552,0.012689655172413793,0.012,114614,78570,124015.74803149607
408787,280546,0.004827586206896552,0.012689655172413793,0.015,111512,71215,124015.74803149607
383066,304696,0.004827586206896552,0.01310344827586207,0.006,112306,96937,121153.84615384616
393827,296616,0.004827586206896552,0.01310344827586207,0.009,110403,86182,121153.84615384616
402520,288586,0.004827586206896552,0.01310344827586207,0.012,109791,77486,121153.84615384616
409549,283547,0.004827586206896552,0.01310344827586207,0.015,109766,70459,121153.84615384616
384732,301200,0.004827586206896552,0.013517241379310345,0.006,111690,95276,118421.05263157896
395256,294988,0.004827586206896552,0.013517241379310345,0.009,109480,84754,118421.05263157896
403571,290984,0.004827586206896552,0.013517241379310345,0.012,108165,76438,118421.05263157896
410513,277825,0.004827586206896552,0.013517241379310345,0.015,110605,69497,118421.05263157896
386264,303423,0.004827586206896552,0.01393103448275862,0.006,109824,93744,115808.82352941178
396461,299047,0.004827586206896552,0.01393103448275862,0.009,107283,83546,115808.82352941178
404595,287461,0.004827586206896552,0.01393103448275862,0.012,108133,75411,115808.82352941178
411255,297071,0.004827586206896552,0.01393103448275862,0.015,103686,68748,115808.82352941178
388035,283757,0.004827586206896552,0.014344827586206896,0.006,112012,91972,113309.35251798562
397807,299916,0.004827586206896552,0.014344827586206896,0.009,105706,82203,113309.35251798562
405681,304179,0.004827586206896552,0.014344827586206896,0.012,102273,74329,113309.35251798562
412187,287474,0.004827586206896552,0.014344827586206896,0.015,105737,67823,113309.35251798562
389384,295162,0.004827586206896552,0.014758620689655172,0.006,108513,90625,110915.49295774648
398947,310889,0.004827586206896552,0.014758620689655172,0.009,102096,81063,110915.49295774648
406712,310259,0.004827586206896552,0.014758620689655172,0.012,99791,73298,110915.49295774648
